ID,value,LAT,LON,ELEV,NAME
USC00410012,14.2046256370051,33.8339,-101.8436,1026.6,ABERNATHY                     
USC00410050,19.9579517069109,31.2833,-98.15,313.9,ADAMSVILLE                    
USC00410120,18.7763415589503,32.7047,-99.3011,441.4,ALBANY                        
USC00410129,23.0778255768479,32.6444,-97.5617,240.8,ALEDO 4 SE                    
USC00410144,23.8874801901743,27.7283,-98.0678,61.3,ALICE                         
USC00410174,10.8826793499802,30.3764,-103.66,1356.4,ALPINE                        
USC00410190,30.8099800399202,31.6094,-95.1342,85.3,ALTO 5 SW                     
USC00410204,35.7631892106307,29.3653,-95.2336,8.5,ALVIN                         
USC00410225,14.4872897927259,29.4608,-101.0286,352.7,AMISTAD DAM                   
USC00410235,36.8362710536624,29.7878,-94.6342,7.3,ANAHUAC                       
USC00410246,21.7431744562703,30.7578,-97.8614,326.7,ANDICE 2 SW                   
USC00410248,10.2142577359969,32.3483,-102.5517,972.9,ANDREWS                       
USC00410257,42.9508521601268,29.1572,-95.4592,8.2,ANGLETON 2 W                  
USC00410262,28.1167392164622,33.35,-96.5167,207.3,ANNA                          
USC00410268,18.3838748495788,32.7667,-99.89,523.3,ANSON                         
USC00410271,20.025811497849,33.4414,-98.3689,312.4,ANTELOPE                      
USC00410305,30.814696485623,28.3081,-96.8047,4.6,ARANSAS WR                    
USC00410313,19.5954077593032,33.5989,-98.6544,305.1,ARCHER CITY 2W                
USC00410337,24.6816581931952,32.7572,-97.0736,163.4,ARLINGTON SIX FLAGS           
USC00410342,24.0929308975377,26.9333,-97.8,9.1,ARMSTRONG                     
USC00410394,16.6750097770825,33.1525,-100.2333,509,ASPERMONT                     
USC00410404,30.3768672641912,32.1633,-95.83,136.6,ATHENS                        
USC00410408,33.0951448707909,33.1244,-94.1661,96,ATLANTA                       
USC00410440,30.6519358623387,32.2067,-96.7958,161.5,AVALON                        
USC00410482,10.2870028700287,30.8878,-102.3008,776.3,BAKERSFIELD                   
USC00410493,17.8537348455221,31.7414,-99.9764,534.9,BALLINGER 2 NW                
USC00410498,9.51762376237624,30.9844,-103.7403,981.5,BALMORHEA                     
USC00410518,26.5047505938242,32.2631,-96.6369,140.5,BARDWELL DAM                  
USC00410569,35.2451298701299,28.9797,-95.975,15.8,BAY CITY WTR WKS              
USC00410611,41.1053288925895,30.0969,-94.0997,6.1,BEAUMONT CITY                 
USC00410635,28.296868645791,30.7833,-95.95,102.1,BEDIAS                        
USC00410639,25.5807587016034,28.4575,-97.7061,77.7,BEEVILLE 5 NE                 
USC00410665,23.6335549472038,31.1,-97.4833,202.4,BELTON DAM                    
USC00410690,17.3070422535211,27.5969,-98.4161,115.8,BENAVIDES 2                   
USC00410691,23.1986703167775,32.6475,-97.4439,240.8,BENBROOK DAM                  
USC00410704,15.9710371819961,33.5333,-99.7667,427,BENJAMIN 4 SSE                
USC00410738,24.0565338276182,30.7625,-98.0214,344.1,BERTRAM 3 ENE                 
USC00410779,13.2190066484161,31.2,-101.4625,833.3,BIG LAKE 2                    
USC00410787,19.3261634728197,28.5731,-99.6044,164.6,BIG WELLS 2W                  
USC00410832,23.9718420023465,30.095,-98.4142,399.3,BLANCO                        
USC00410861,15.0014506769826,30.5333,-104.1333,1756.9,BLOYS CAMPGROUND              
USC00410866,24.9323425889715,30.4,-97.15,139.9,BLUE                          
USC00410902,25.7418850215096,29.7986,-98.7353,440.4,BOERNE                        
USC00410917,37.2551385165326,30.7333,-93.65,27.1,BON WIER                      
USC00410923,32.6037212984956,33.6403,-96.1661,180.4,BONHAM 3NNE                   
USC00410944,14.9973626373626,36.4533,-100.5394,838.2,BOOKER                        
USC00410950,6.211576065702,29.1853,-102.9622,566.3,BOQUILLAS RS                  
USC00410958,12.3504106374658,35.6689,-101.4022,930.6,BORGER                        
USC00410984,22.2044740973312,33.5511,-97.8472,329.2,BOWIE                         
USC00410991,34.648416112632,33.5164,-94.8608,134.1,BOXELDER 3 NNE                
USC00410996,22.8111467522053,33.08,-97.5639,222.5,BOYD                          
USC00411007,16.8584178498986,29.3167,-100.4144,341.4,BRACKETTVILLE                 
USC00411017,21.7231661831745,31.1444,-99.3492,521.5,BRADY                         
USC00411033,11.4877755511022,35.62,-103.0072,1268,BRAVO                         
USC00411035,21.4798592100117,32.6489,-98.1336,256,BRAZOS                        
USC00411043,18.9346405228758,32.7667,-98.9333,406,BRECKENRIDGE 2 WNW            
USC00411045,24.8877590926867,31.1589,-96.6825,143.3,BREMOND                       
USC00411048,29.814235432147,30.1592,-96.3972,95.4,BRENHAM                       
USC00411063,21.4165037152914,33.2064,-97.7761,234.4,BRIDGEPORT                    
USC00411128,14.547907704341,33.1908,-102.2681,1005.8,BROWNFIELD #2                 
USC00411138,20.4401726167124,31.7383,-98.9456,424.9,BROWNWOOD 2ENE                
USC00411188,29.6272050176401,31.4667,-96.05,109.1,BUFFALO                       
USC00411203,13.5401174168297,36.1833,-100.8333,905.9,BULER 4 NNW                   
USC00411215,27.2772780602268,29.7383,-98.4522,329.2,BULVERDE                      
USC00411224,11.1835236541599,36.15,-102.9333,1325.3,BUNKER HILL                   
USC00411239,20.6127265065318,31.9917,-99.2203,478.2,BURKETT                       
USC00411245,24.5263981228002,32.5167,-97.3333,235,BURLESON 2 SSW                
USC00411248,25.5248337895972,31,-97.0333,125,BURLINGTON 3 WSW              
USC00411250,22.283144309738,30.7586,-98.2339,391.7,BURNET                        
USC00411314,28.7356276886977,30.5328,-96.7022,111.3,CALDWELL                      
USC00411348,24.079843444227,30.8458,-96.97,110.9,CAMERON                       
USC00411398,20.7643286573146,29.6703,-100.0097,451.1,CAMP WOOD                     
USC00411412,14.0399686520376,35.9092,-100.3883,701,CANADIAN                      
USC00411416,8.62230919765166,30.1383,-104.6822,876.9,CANDELARIA                    
USC00411425,32.1392256550645,32.5669,-95.9578,147.8,CANTON 5 W                    
USC00411429,27.1212358232303,29.8608,-98.1958,304.8,CANYON DAM                    
USC00411430,12.8701504354711,34.9806,-101.9264,1094.2,CANYON                        
USC00411490,26.4927649589363,32.985,-96.9258,166.1,CARROLLTON                    
USC00411492,15.5561643835616,29.7908,-100.6742,564.2,CARTA VALLEY                  
USC00411500,34.3764845605701,32.1614,-94.3397,93,CARTHAGE                      
USC00411528,16.4893026941363,28.3392,-99.6328,170.7,CATARINA                      
USC00411573,28.1965544244323,33.3167,-96.8,207,CELINA                        
USC00411578,35.4375733855186,31.8075,-94.1642,99.1,CENTER                        
USC00411580,20.929996089167,31.4683,-98.4106,416.1,CENTER CITY                   
USC00411596,26.8142913231253,31.2581,-95.9744,97.5,CENTERVILLE                   
USC00411625,23.719984356668,32.1561,-97.9369,345.3,CHALK MTN                     
USC00411649,12.7496917385943,35.6831,-102.33,1155.2,CHANNING 2                    
USC00411651,24.0958154086821,27.5892,-97.4547,7.6,CHAPMAN RCH                   
USC00411663,21.6171294485725,28.9275,-98.7494,134.4,CHARLOTTE 5 NNW               
USC00411701,15.9263705482193,34.25,-99.5167,427,CHILLICOTHE                   
USC00411715,12.6847868596011,29.2703,-103.3003,1615.4,CHISOS BASIN                  
USC00411778,12.6512272367379,35.11,-101.3619,1034.8,CLAUDE                        
USC00411800,25.454011741683,32.3139,-97.4061,238.7,CLEBURNE                      
USC00411810,35.8685960109503,30.3636,-95.0839,59.7,CLEVELAND                     
USC00411823,22.719984356668,31.8,-97.4333,203.9,CLIFTON 10 E                  
USC00411838,34.0947162426615,29.7067,-95.6878,26.5,CLODINE                       
USC00411870,34.4540477121627,30.5333,-95.15,108.2,COLDSPRING 5 SSW              
USC00411875,19.3456112852665,31.8278,-99.4319,523.6,COLEMAN                       
USC00411903,18.2363350373575,32.3978,-100.8594,643.1,COLORADO CITY                 
USC00411911,30.6175771971496,29.6989,-96.5731,68.6,COLUMBUS                      
USC00411914,19.8728979272585,31.8983,-98.6033,421.8,COMANCHE                      
USC00411946,12.2926158680283,36.2353,-102.2406,1164.3,CONLEN                        
USC00411956,34.2381697301525,30.3303,-95.4831,74.7,CONROE                        
USC00411970,33.519638648861,33.3744,-95.6933,148.1,COOPER                        
USC00411974,11.8412201798983,31.5333,-101.2842,755.9,COPE RCH                      
USC00411984,20.1769662921348,31.1167,-97.9,326.1,COPPERAS COVE                 
USC00412012,6.3687915526007,31.78,-105.47,1365.5,CORNUDAS SVC STN              
USC00412014,24.9730046948357,27.8,-97.4,3,CORPUS CHRISTI                
USC00412019,27.6769651935862,32.1225,-96.4867,136.9,CORSICANA                     
USC00412040,20.2443548387097,30.1806,-99.1539,647.1,COTTONWOOD 2NW                
USC00412080,28.3682974559687,32.6297,-96.4581,131.1,CRANDALL                      
USC00412082,8.94247246022032,31.4072,-102.3578,778.5,CRANE                         
USC00412096,23.030504497458,32.5286,-97.6189,316.7,CRESSON                       
USC00412114,29.8330074305827,31.3072,-95.4508,105.8,CROCKETT                      
USC00412121,15.2311302307391,33.6517,-101.245,917.4,CROSBYTON                     
USC00412128,20.0380243041944,32.1167,-99.1667,531,CROSS PLAINS                  
USC00412142,17.3408820023838,33.9897,-99.7303,451.1,CROWELL                       
USC00412160,17.1638639030113,28.6794,-99.8311,176.8,CRYSTAL CITY                  
USC00412206,36.4976452119309,30.0211,-95.7069,45.7,CYPRESS                       
USC00412218,29.9353943717796,30.4364,-95.7919,73.2,DACUS                         
USC00412225,33.523660539695,32.9203,-94.7225,91.4,DAINGERFIELD 9 S              
USC00412266,32.8105675146771,29.0567,-96.2319,21.3,DANEVANG 1 W                  
USC00412282,14.7781299524564,36.4439,-100.3317,783.9,DARROUZETT                    
USC00412352,32.4440842787682,33.4797,-94.6175,103.9,DEKALB                        
USC00412394,29.1948356807512,33.8167,-96.5667,186.8,DENISON DAM                   
USC00412404,28.7201097608781,33.1992,-97.105,192,DENTON 2 SE                   
USC00412436,40.5814889336016,30.2333,-93.7333,6.1,DEWEYVILLE 5 S                
USC00412444,30.9495107632094,31.8614,-95.2619,187.8,DIALVILLE 2 W                 
USC00412458,20.025811497849,28.6806,-99.1833,167.6,DILLEY                        
USC00412462,27.8039138943249,30.3558,-96.8289,112.2,DIME BOX                      
USC00412463,12.368962787015,34.55,-102.2167,1161.9,DIMMITT 6 E                   
USC00412464,11.677755511022,34.5858,-102.312,1173.5,DIMMITT 2 N                   
USC00412527,19.1439186546734,31.4833,-99.5667,442,DOOLE 6 NNE                   
USC00412590,8.57137270238561,30.05,-102.1167,667.5,DRYDEN                        
USC00412595,26.1912397340634,29.3833,-97.2667,92,DRYER 1 NW                    
USC00412598,23.9444661712945,32.0628,-98.3047,447.4,DUBLIN 2SE                    
USC00412617,12.5999217833399,35.8731,-101.9725,1114,DUMAS                         
USC00412621,17.9108606557377,33.8094,-100.5169,612.6,DUMONT                        
USC00412630,16.7342879872713,30.8,-100.1667,646.2,DUNCAN WILSON RCH             
USC00412633,17.5678033306899,33.8158,-98.9317,320.3,DUNDEE 6 NNW                  
USC00412678,23.1353919239905,32.8833,-97.4667,207,EAGLE MTN LAKE DAM            
USC00412679,17.3887775551102,28.7569,-100.4792,247.5,EAGLE PASS 3N                 
USC00412715,20.672530987605,32.3989,-98.8175,438.3,EASTLAND                      
USC00412741,19.6267190569745,31.2208,-99.8494,624.8,EDEN                          
USC00412772,32.4732107938991,32.3656,-95.6089,154.8,EDOM                          
USC00412786,31.3691037735849,29.2,-96.2653,33.5,EL CAMPO                      
USC00412812,14.3181996086106,30.9667,-100.7,759,ELDORADO 11 NW                
USC00412814,14.7111378205128,30.7333,-100.8833,719.9,ELDORADO 19 SW                
USC00412818,18.4340770791075,34.0308,-98.9117,370.6,ELECTRA                       
USC00412820,24.6143918654673,30.3642,-97.37,181.1,ELGIN 1 N                     
USC00412902,31.8665362035225,32.8711,-95.7797,147.5,EMORY                         
USC00412906,17.6712871287129,27.9775,-99.3847,166.1,ENCINAL                       
USC00412925,29.7337509788567,32.3333,-96.6333,160,ENNIS                         
USC00413000,37.2401251466562,30.3333,-94.0833,10.1,EVADALE                       
USC00413005,19.5213572854291,31.4625,-98.1619,379.5,EVANT 1SSW                    
USC00413033,6.36136096988659,31.5,-106.15,1100.9,FABENS                        
USC00413047,27.2542641808806,31.7322,-96.2078,131.7,FAIRFIELD 3W                  
USC00413060,16.2200237435695,26.5581,-99.1372,97.5,FALCON DAM                    
USC00413063,22.4523512276321,27.1353,-98.1203,42.4,FALFURRIAS                    
USC00413065,23.183221210922,28.9614,-98.1103,104.5,FALLS CITY 7 WSW              
USC00413080,29.2772780602268,33.1414,-96.2933,191.4,FARMERSVILLE                  
USC00413133,27.5404771216269,32.5339,-96.6608,143.3,FERRIS                        
USC00413142,19.0905868452147,31.3833,-99.3667,424,FIFE                          
USC00413156,24.9295223179327,29.9744,-98.2669,359.7,FISCHERS STORE                
USC00413183,27.9217495987159,29.6339,-97.0644,143.3,FLATONIA 4SE                  
USC00413196,15.0349272349272,34.2675,-100.9336,719.3,FLOMOT 4 NE                   
USC00413199,24.8756375049039,30.8394,-97.7928,300.5,FLORENCE                      
USC00413201,23.4965263588067,29.1333,-98.1628,121.9,FLORESVILLE                   
USC00413214,14.464215877982,33.985,-101.3339,981.5,FLOYDADA                      
USC00413215,14.2963556267521,33.8761,-101.2464,954,FLOYDADA 9 SE                 
USC00413225,16.214481409002,36.4328,-100.1369,844.3,FOLLETT                       
USC00413247,22.9053578412202,33.4661,-97.5797,338.3,FORESTBURG 5 S                
USC00413253,14.0873140172279,32.1117,-101.3642,838.2,FORSAN                        
USC00413262,10.9720308066478,30.5997,-103.8869,1482.5,FT DAVIS                      
USC00413266,8.24153166421208,31.1847,-105.7411,1064.7,FT HANCOCK 8SSE               
USC00413280,8.92508917954816,30.9072,-102.9153,926,FT STOCKTON                   
USC00413299,15.8549395581492,28.5033,-98.8392,91.4,FOWLERTON                     
USC00413321,25.8981606101391,31.0328,-96.4889,142.3,FRANKLIN                      
USC00413329,21.1560422369965,30.2392,-98.9089,513.6,FREDERICKSBURG                
USC00413340,38.7895971842002,28.9844,-95.3808,2.4,FREEPORT 2 NW                 
USC00413341,21.1251993620415,27.8722,-98.6175,171.3,FREER                         
USC00413368,10.6800938599922,34.64,-102.7231,1222.2,FRIONA                        
USC00413370,28.0664797757309,33.1925,-96.7931,227.7,FRISCO                        
USC00413379,25.1483365949119,32.0833,-96.8,159.1,FROST                         
USC00413401,15.0649247822645,31.4775,-100.7978,630.9,FUNK RCH                      
USC00413411,14.6013621794872,32.7744,-101.4539,771.1,GAIL                          
USC00413415,24.9968713335941,33.6358,-97.1447,237.7,GAINESVILLE                   
USC00413445,12.4442706296441,31.8667,-101.4814,809.2,GARDEN CITY                   
USC00413485,22.2754657154182,31.4144,-97.7019,251.8,GATESVILLE                    
USC00413506,25.6456785295268,30.6333,-97.6833,228,GEORGETOWN                    
USC00413508,22.6753794266442,28.3064,-98.1222,68.6,GEORGE W 2 SSW                
USC00413525,27.1079389910051,30.1872,-96.8594,167.6,GIDDINGS 5E                   
USC00413546,32.6833659491194,32.7464,-95.0497,118.9,GILMER 4 WNW                  
USC00413557,10.4556120453657,31.0667,-102.4,705,GIRVIN                        
USC00413591,25.6699256941729,32.2342,-97.7853,199.6,GLEN ROSE 2 W                 
USC00413605,23.7543996871334,30.3481,-98.6861,499.9,GOLD                          
USC00413614,20.0568090249799,31.4406,-98.5903,459.3,GOLDTHWAITE 1 WSW             
USC00413618,29.3578412201799,28.6617,-97.385,43.3,GOLIAD                        
USC00413622,25.9800547516621,29.4744,-97.4481,90.2,GONZALES 2S                   
USC00413668,20.2905748924521,33.1203,-98.5669,328.6,GRAHAM                        
USC00413680,7.05684045472364,31.3028,-102.8222,739.1,GRANDFALLS 3SSE               
USC00413685,24.7448875255624,30.715,-97.4483,174.3,GRANGER                       
USC00413689,30.9212690951821,31.4833,-95.4833,146,GRAPELAND                     
