ID,value,LAT,LON,ELEV,NAME
USC00410040,256.429565217391,30.3519,-101.2519,612.6,ACTON RCH                     
USC00410120,246.50357426529,32.7047,-99.3011,441.4,ALBANY                        
USC00410144,282.817886178862,27.7283,-98.0678,61.3,ALICE                         
USC00410174,241.46699669967,30.3764,-103.66,1356.4,ALPINE                        
USC00410225,275.18427230047,29.4608,-101.0286,352.7,AMISTAD DAM                   
USC00410235,249.392133008921,29.7878,-94.6342,7.3,ANAHUAC                       
USC00410248,252.15538945712,32.3483,-102.5517,972.9,ANDREWS                       
USC00410257,252.94671474359,29.1572,-95.4592,8.2,ANGLETON 2 W                  
USC00410268,246.635613207547,32.7667,-99.89,523.3,ANSON                         
USC00410305,257.003577106518,28.3081,-96.8047,4.6,ARANSAS WR                    
USC00410313,243.2332296757,33.5989,-98.6544,305.1,ARCHER CITY 2W                
USC00410337,253.710805084746,32.7572,-97.0736,163.4,ARLINGTON SIX FLAGS           
USC00410394,243.588458298231,33.1525,-100.2333,509,ASPERMONT                     
USC00410404,245.802783300199,32.1633,-95.83,136.6,ATHENS                        
USC00410482,262.62553858206,30.8878,-102.3008,776.3,BAKERSFIELD                   
USC00410493,258.161873459326,31.7414,-99.9764,534.9,BALLINGER 2 NW                
USC00410498,257.239984289081,30.9844,-103.7403,981.5,BALMORHEA                     
USC00410518,244.920031670626,32.2631,-96.6369,140.5,BARDWELL DAM                  
USC00410569,257.589618021548,28.9797,-95.975,15.8,BAY CITY WTR WKS              
USC00410586,253.41063746578,29.9142,-94.9908,7.9,BAYTOWN                       
USC00410613,256.261243644896,30.0689,-94.2928,8.2,BEAUMONT RSCH CTR             
USC00410639,268.972962382445,28.4575,-97.7061,77.7,BEEVILLE 5 NE                 
USC00410691,244.930516050386,32.6475,-97.4439,240.8,BENBROOK DAM                  
USC00410779,245.474100434955,31.2,-101.4625,833.3,BIG LAKE 2                    
USC00410832,248.19984356668,30.095,-98.4142,399.3,BLANCO                        
USC00410902,252.916209866876,29.7986,-98.7353,440.4,BOERNE                        
USC00410923,231.290297339593,33.6403,-96.1661,180.4,BONHAM 3NNE                   
USC00410950,310.074058400339,29.1853,-102.9622,566.3,BOQUILLAS RS                  
USC00410958,215.962456003129,35.6689,-101.4022,930.6,BORGER                        
USC00410984,232.019230769231,33.5511,-97.8472,329.2,BOWIE                         
USC00411000,222.652139144342,35.5303,-102.2564,972.6,BOYS RCH                      
USC00411007,271.259333600964,29.3167,-100.4144,341.4,BRACKETTVILLE                 
USC00411013,263.149122807018,29.61,-100.4519,536.4,BRACKETTVILLE 22 N            
USC00411017,253.598043052838,31.1444,-99.3492,521.5,BRADY                         
USC00411033,216.277960526316,35.62,-103.0072,1268,BRAVO                         
USC00411048,264.830455259027,30.1592,-96.3972,95.4,BRENHAM                       
USC00411063,248.467116357504,33.2064,-97.7761,234.4,BRIDGEPORT                    
USC00411128,233.339201877934,33.1908,-102.2681,1005.8,BROWNFIELD #2                 
USC00411138,258.92766798419,31.7383,-98.9456,424.9,BROWNWOOD 2ENE                
USC00411246,246.277027027027,32.5067,-97.3444,232.3,BURLESON                      
USC00411250,245.259128386337,30.7586,-98.2339,391.7,BURNET                        
USC00411348,257.902190923318,30.8458,-96.97,110.9,CAMERON                       
USC00411412,227.885908726982,35.9092,-100.3883,701,CANADIAN                      
USC00411416,289.606182256122,30.1383,-104.6822,876.9,CANDELARIA                    
USC00411429,260.666507633588,29.8608,-98.1958,304.8,CANYON DAM                    
USC00411430,219.973365617433,34.9806,-101.9264,1094.2,CANYON                        
USC00411500,244.032093933464,32.1614,-94.3397,93,CARTHAGE                      
USC00411524,302.719473264166,29.1333,-103.5144,661.1,CASTOLON                      
USC00411578,247.393038717247,31.8075,-94.1642,99.1,CENTER                        
USC00411596,247.930387172468,31.2581,-95.9744,97.5,CENTERVILLE                   
USC00411651,266.357790601814,27.5892,-97.4547,7.6,CHAPMAN RCH                   
USC00411663,281.921392256551,28.9275,-98.7494,134.4,CHARLOTTE 5 NNW               
USC00411715,219.878836189717,29.2703,-103.3003,1615.4,CHISOS BASIN                  
USC00411720,284.816432865732,28.4675,-98.2525,70.1,CHOKE CANYON DAM              
USC00411772,229.471250502614,33.6164,-95.0717,132.6,CLARKSVILLE 2NE               
USC00411778,208.278830313015,35.11,-101.3619,1034.8,CLAUDE                        
USC00411800,254.791552600704,32.3139,-97.4061,238.7,CLEBURNE                      
USC00411810,250.225068979109,30.3636,-95.0839,59.7,CLEVELAND                     
USC00411870,250.089430894309,30.5333,-95.15,108.2,COLDSPRING 5 SSW              
USC00411875,251.807616804083,31.8278,-99.4319,523.6,COLEMAN                       
USC00411911,271.877590926867,29.6989,-96.5731,68.6,COLUMBUS                      
USC00411956,255.308411214953,30.3303,-95.4831,74.7,CONROE                        
USC00411974,246.100319744205,31.5333,-101.2842,755.9,COPE RCH                      
USC00411995,253.43829787234,34.1122,-99.743,449.6,COPPER BREAKS SP              
USC00412012,246.560087719298,31.78,-105.47,1365.5,CORNUDAS SVC STN              
USC00412019,239.659045326915,32.1225,-96.4867,136.9,CORSICANA                     
USC00412082,259.469135802469,31.4072,-102.3578,778.5,CRANE                         
USC00412114,246.791798107256,31.3072,-95.4508,105.8,CROCKETT                      
USC00412121,228.387172467736,33.6517,-101.245,917.4,CROSBYTON                     
USC00412160,282.172076652327,28.6794,-99.8311,176.8,CRYSTAL CITY                  
USC00412173,274.977795400476,29.0892,-97.3433,65.2,CUERO                         
USC00412225,250.808763308763,32.9203,-94.7225,91.4,DAINGERFIELD 9 S              
USC00412235,202.901356993737,36.0072,-102.6133,1219.2,DALHART 6 SW                  
USC00412266,266.21445978879,29.0567,-96.2319,21.3,DANEVANG 1 W                  
USC00412352,241.310068190935,33.4797,-94.6175,103.9,DEKALB                        
USC00412354,258.887470071828,31.9147,-105.2097,1130.2,DELL CITY 5SSW                
USC00412394,229.194753577107,33.8167,-96.5667,186.8,DENISON DAM                   
USC00412404,236.944031311155,33.1992,-97.105,192,DENTON 2 SE                   
USC00412408,238.747821629933,32.9619,-102.8219,1094.2,DENVER CITY                   
USC00412458,275.384347826087,28.6806,-99.1833,167.6,DILLEY                        
USC00412464,212.688479623824,34.5858,-102.312,1173.5,DIMMITT 2 N                   
USC00412585,257.833007430583,30.2194,-97.9878,330.4,DRIPPING SPRINGS 6 E          
USC00412590,269.192633150821,30.05,-102.1167,667.5,DRYDEN                        
USC00412598,238.517828843106,32.0628,-98.3047,447.4,DUBLIN 2SE                    
