ID,value,LAT,LON,ELEV,NAME
USC00410012,68.3412415974694,33.8339,-101.8436,1026.6,ABERNATHY                     
USC00410013,112.061728395062,32.4317,-99.6325,549.2,ABILENE 6ESE                  
USC00410040,114.635401635402,30.3519,-101.2519,612.6,ACTON RCH                     
USC00410120,112.304849884527,32.7047,-99.3011,441.4,ALBANY                        
USC00410174,92.0224988032552,30.3764,-103.66,1356.4,ALPINE                        
USC00410176,105.913998170174,30.3703,-103.7808,1500.2,ALPINE 7NW                    
USC00410206,104.999598876855,33.3867,-97.7164,307.8,ALVORD 3 N                    
USC00410225,149.032690035447,29.4608,-101.0286,352.7,AMISTAD DAM                   
USC00410235,145.633451957295,29.7878,-94.6342,7.3,ANAHUAC                       
USC00410250,90.9121265377856,32.3122,-102.5606,980.2,ANDREWS 2                     
USC00410257,173.86015936255,29.1572,-95.4592,8.2,ANGLETON 2 W                  
USC00410268,108.549684089604,32.7667,-99.89,523.3,ANSON                         
USC00410337,125.753140360459,32.7572,-97.0736,163.4,ARLINGTON SIX FLAGS           
USC00410345,161.050612244898,26.8339,-97.7078,7.6,ARMSTRONG 4SE                 
USC00410394,98.8345805435211,33.1525,-100.2333,509,ASPERMONT                     
USC00410404,121.571089108911,32.1633,-95.83,136.6,ATHENS                        
USC00410408,114.644896362925,33.1244,-94.1661,96,ATLANTA                       
USC00410433,132.659972615244,30.4144,-97.7664,268.2,AUSTIN GREAT HILLS            
USC00410482,118.525388166177,30.8878,-102.3008,776.3,BAKERSFIELD                   
USC00410493,113.969984202212,31.7414,-99.9764,534.9,BALLINGER 2 NW                
USC00410518,130.402322687681,32.2631,-96.6369,140.5,BARDWELL DAM                  
USC00410569,159.18987854251,28.9797,-95.975,15.8,BAY CITY WTR WKS              
USC00410586,160.690438871473,29.9142,-94.9908,7.9,BAYTOWN                       
USC00410611,153.561111111111,30.0969,-94.0997,6.1,BEAUMONT CITY                 
USC00410613,150.291486857591,30.0689,-94.2928,8.2,BEAUMONT RSCH CTR             
USC00410639,155.452777777778,28.4575,-97.7061,77.7,BEEVILLE 5 NE                 
USC00410655,143.010775862069,30.0317,-96.2167,85.3,BELLVILLE 6NNE                
USC00410690,155.824575266693,27.5969,-98.4161,115.8,BENAVIDES 2                   
USC00410764,93.5694857628559,29.4372,-103.9583,1261.9,BIG BEND RCH SP               
USC00410779,106.784615384615,31.2,-101.4625,833.3,BIG LAKE 2                    
USC00410832,118.93023255814,30.095,-98.4142,399.3,BLANCO                        
USC00410902,121.576630652261,29.7986,-98.7353,440.4,BOERNE                        
USC00410923,114.679815910585,33.6403,-96.1661,180.4,BONHAM 3NNE                   
USC00410926,116.851549755302,33.8186,-97.7336,298.7,BONITA 7NW                    
USC00410958,78.0071258907364,35.6689,-101.4022,930.6,BORGER                        
USC00410984,108.702390438247,33.5511,-97.8472,329.2,BOWIE                         
USC00411000,62.2108763693271,35.5303,-102.2564,972.6,BOYS RCH                      
USC00411007,138.721518987342,29.3167,-100.4144,341.4,BRACKETTVILLE                 
USC00411013,126.572278911565,29.61,-100.4519,536.4,BRACKETTVILLE 22 N            
USC00411017,118.339667458432,31.1444,-99.3492,521.5,BRADY                         
USC00411033,46.5691573926868,35.62,-103.0072,1268,BRAVO                         
USC00411042,105.359500805153,32.75,-98.9017,356.6,BRECKENRIDGE                  
USC00411048,139.087981146897,30.1592,-96.3972,95.4,BRENHAM                       
USC00411063,109.616651418115,33.2064,-97.7761,234.4,BRIDGEPORT                    
USC00411128,79.6897496087637,33.1908,-102.2681,1005.8,BROWNFIELD #2                 
USC00411138,109.942700156986,31.7383,-98.9456,424.9,BROWNWOOD 2ENE                
USC00411148,160.708757637475,27.4392,-98.8358,235,BRUNI                         
USC00411246,128.309205020921,32.5067,-97.3444,232.3,BURLESON                      
USC00411250,117.285283776996,30.7586,-98.2339,391.7,BURNET                        
USC00411267,49.7979519495865,35.1867,-102.0797,1164,BUSHLAND 1 WSW                
USC00411337,157.00873015873,28.4658,-98.3539,66.4,CALLIHAM                      
USC00411429,143.605367008682,29.8608,-98.1958,304.8,CANYON DAM                    
USC00411430,60.2706027060271,34.9806,-101.9264,1094.2,CANYON                        
USC00411486,139.589892294946,28.4894,-99.8733,186.8,CARRIZO SPRINGS 3S            
USC00411500,127.211990595611,32.1614,-94.3397,93,CARTHAGE                      
USC00411541,126.827150749803,30.0164,-97.4786,132.9,CEDAR CREEK 5 S               
USC00411578,123.888150175988,31.8075,-94.1642,99.1,CENTER                        
USC00411596,121.40150614348,31.2581,-95.9744,97.5,CENTERVILLE                   
USC00411671,141.20467117394,29.3092,-97.4061,111.3,CHEAPSIDE                     
USC00411694,93.7703499803382,34.4386,-100.2183,585.2,CHILDRESS 2                   
USC00411715,110.591111111111,29.2703,-103.3003,1615.4,CHISOS BASIN                  
USC00411720,155.80313111546,28.4675,-98.2525,70.1,CHOKE CANYON DAM              
USC00411800,121.096800324018,32.3139,-97.4061,238.7,CLEBURNE                      
USC00411810,131.964594807238,30.3636,-95.0839,59.7,CLEVELAND                     
USC00411875,112.488015717092,31.8278,-99.4319,523.6,COLEMAN                       
USC00411880,151.08513992905,28.7156,-97.1742,36,COLETO CREEK RSVR             
USC00411911,149.847282139776,29.6989,-96.5731,68.6,COLUMBUS                      
USC00411934,116.270337922403,31.5517,-99.7083,478.2,CONCHO PARK/IVIE RSVR         
USC00411956,144.925314465409,30.3303,-95.4831,74.7,CONROE                        
USC00411968,124.258894362343,33.3192,-95.6039,141.1,COOPER DAM                    
USC00411974,88.8218390804598,31.5333,-101.2842,755.9,COPE RCH                      
USC00412011,175.471512770138,27.7792,-97.5056,13.4,CORPUS CHRISTI NWS            
USC00412013,180.228771640561,27.6606,-97.3983,4.9,C C BOTANICAL GARDENS         
USC00412019,134.661132396765,32.1225,-96.4867,136.9,CORSICANA                     
USC00412082,106.235245901639,31.4072,-102.3578,778.5,CRANE                         
