"","year","ID","metric","value"
"1",1936,"USC00020949",1,317.230769230769
"2",1937,"USC00020949",1,NA
"3",1938,"USC00020949",1,NA
"4",1939,"USC00020949",1,NA
"5",1940,"USC00020949",1,NA
"6",1941,"USC00020949",1,NA
"7",1942,"USC00020949",1,NA
"8",1943,"USC00020949",1,NA
"9",1944,"USC00020949",1,NA
"10",1945,"USC00020949",1,NA
"11",1946,"USC00020949",1,NA
"12",1947,"USC00020949",1,NA
"13",1948,"USC00020949",1,NA
"14",1949,"USC00020949",1,NA
"15",1950,"USC00020949",1,NA
"16",1951,"USC00020949",1,NA
"17",1952,"USC00020949",1,313.958944281525
"18",1953,"USC00020949",1,309.739726027397
"19",1954,"USC00020949",1,315.961432506887
"20",1955,"USC00020949",1,301.723287671233
"21",1956,"USC00020949",1,314.975409836066
"22",1957,"USC00020949",1,311.416438356164
"23",1958,"USC00020949",1,328.895890410959
"24",1959,"USC00020949",1,322.816438356164
"25",1960,"USC00020949",1,307.622950819672
"26",1961,"USC00020949",1,306.008219178082
"27",1962,"USC00020949",1,308.684931506849
"28",1963,"USC00020949",1,310.188622754491
"29",1964,"USC00020949",1,299.401639344262
"30",1965,"USC00020949",1,299.797260273973
"31",1966,"USC00020949",1,307.997260273973
"32",1967,"USC00020949",1,303.643835616438
"33",1968,"USC00020949",1,301.939890710382
"34",1969,"USC00020949",1,302.246575342466
"35",1970,"USC00020949",1,299.813698630137
"36",1971,"USC00020949",1,295.027397260274
"37",1972,"USC00020949",1,301.265027322404
"38",1973,"USC00020949",1,310.697329376855
"39",1974,"USC00020949",1,305.715068493151
"40",1975,"USC00020949",1,298.317808219178
"41",1976,"USC00020949",1,302.497267759563
"42",1977,"USC00020949",1,308.501369863014
"43",1978,"USC00020949",1,300.761643835616
"44",1979,"USC00020949",1,301.706849315068
"45",1980,"USC00020949",1,310.092896174863
"46",1981,"USC00020949",1,317.013698630137
"47",1982,"USC00020949",1,293.257534246575
"48",1983,"USC00020949",1,297.690410958904
"49",1984,"USC00020949",1,301.855191256831
"50",1985,"USC00020949",1,301.13698630137
"51",1986,"USC00020949",1,304.079452054795
"52",1987,"USC00020949",1,296.78904109589
"53",1988,"USC00020949",1,300.824657534247
"54",1989,"USC00020949",1,310.158904109589
"55",1990,"USC00020949",1,300.649315068493
"56",1991,"USC00020949",1,296.660273972603
"57",1992,"USC00020949",1,296.01912568306
"58",1993,"USC00020949",1,297.221917808219
"59",1994,"USC00020949",1,302.854794520548
"60",1995,"USC00020949",1,306.761643835616
"61",1996,"USC00020949",1,313.986338797814
"62",1997,"USC00020949",1,306.312328767123
"63",1998,"USC00020949",1,291.271232876712
"64",1999,"USC00020949",1,306.621917808219
"65",2000,"USC00020949",1,310.161202185792
"66",2001,"USC00020949",1,308.005479452055
"67",2002,"USC00020949",1,308.906849315068
"68",2003,"USC00020949",1,308.904109589041
"69",2004,"USC00020949",1,310.613861386139
"70",2005,"USC00020949",1,292.073394495413
"71",2006,"USC00020949",1,299.405487804878
"72",2007,"USC00020949",1,307.281690140845
"73",2008,"USC00020949",1,307.411267605634
"74",2009,"USC00020949",1,307.585635359116
"75",2010,"USC00020949",1,301.459833795014
"76",2011,"USC00020949",1,301.08635097493
"77",2012,"USC00020949",1,313.615384615385
"78",2013,"USC00020949",1,306.477777777778
"79",2014,"USC00020949",1,314.421787709497
"80",2015,"USC00020949",1,309.546961325967
