"","ID","year","month","day","TMAX"
"321","USC00020949",1936,4,11,361
"322","USC00020949",1936,4,12,383
"323","USC00020949",1936,4,13,389
"324","USC00020949",1936,4,14,367
"325","USC00020949",1936,4,15,389
"326","USC00020949",1936,4,16,383
"327","USC00020949",1936,4,17,394
"328","USC00020949",1936,4,18,383
"329","USC00020949",1936,4,19,356
"330","USC00020949",1936,4,20,356
"331","USC00020949",1936,4,21,356
"332","USC00020949",1936,4,22,350
"334","USC00020949",1936,4,24,367
"337","USC00020949",1936,4,27,367
"404","USC00020949",1936,5,1,350
"405","USC00020949",1936,5,2,372
"406","USC00020949",1936,5,3,389
"407","USC00020949",1936,5,4,378
"408","USC00020949",1936,5,5,367
"412","USC00020949",1936,5,9,367
"413","USC00020949",1936,5,10,389
"414","USC00020949",1936,5,11,400
"415","USC00020949",1936,5,12,417
"416","USC00020949",1936,5,13,417
"417","USC00020949",1936,5,14,406
"418","USC00020949",1936,5,15,394
"419","USC00020949",1936,5,16,383
"420","USC00020949",1936,5,17,367
"421","USC00020949",1936,5,18,367
"422","USC00020949",1936,5,19,378
"423","USC00020949",1936,5,20,378
"424","USC00020949",1936,5,21,367
"425","USC00020949",1936,5,22,383
"426","USC00020949",1936,5,23,389
"427","USC00020949",1936,5,24,417
"428","USC00020949",1936,5,25,428
"429","USC00020949",1936,5,26,389
"430","USC00020949",1936,5,27,350
"431","USC00020949",1936,5,28,361
"432","USC00020949",1936,5,29,367
"497","USC00020949",1936,6,1,367
"501","USC00020949",1936,6,5,350
"502","USC00020949",1936,6,6,383
"503","USC00020949",1936,6,7,367
"504","USC00020949",1936,6,8,383
"505","USC00020949",1936,6,9,400
"506","USC00020949",1936,6,10,417
"507","USC00020949",1936,6,11,439
"508","USC00020949",1936,6,12,444
"509","USC00020949",1936,6,13,456
"510","USC00020949",1936,6,14,456
"511","USC00020949",1936,6,15,444
"512","USC00020949",1936,6,16,417
"513","USC00020949",1936,6,17,450
"514","USC00020949",1936,6,18,456
"515","USC00020949",1936,6,19,467
"516","USC00020949",1936,6,20,456
"517","USC00020949",1936,6,21,450
"518","USC00020949",1936,6,22,450
"519","USC00020949",1936,6,23,450
"520","USC00020949",1936,6,24,456
"521","USC00020949",1936,6,25,461
"522","USC00020949",1936,6,26,456
"523","USC00020949",1936,6,27,428
"524","USC00020949",1936,6,28,422
"525","USC00020949",1936,6,29,428
"526","USC00020949",1936,6,30,417
"590","USC00020949",1936,7,1,428
"591","USC00020949",1936,7,2,456
"592","USC00020949",1936,7,3,456
"593","USC00020949",1936,7,4,461
"594","USC00020949",1936,7,5,439
"595","USC00020949",1936,7,6,450
"596","USC00020949",1936,7,7,450
"597","USC00020949",1936,7,8,428
"598","USC00020949",1936,7,9,406
"599","USC00020949",1936,7,10,383
"600","USC00020949",1936,7,11,367
"601","USC00020949",1936,7,12,411
"602","USC00020949",1936,7,13,444
"603","USC00020949",1936,7,14,467
"604","USC00020949",1936,7,15,456
"605","USC00020949",1936,7,16,472
"606","USC00020949",1936,7,17,467
"607","USC00020949",1936,7,18,433
"608","USC00020949",1936,7,19,428
"609","USC00020949",1936,7,20,456
"610","USC00020949",1936,7,21,444
"611","USC00020949",1936,7,22,444
"612","USC00020949",1936,7,23,444
"613","USC00020949",1936,7,24,422
"614","USC00020949",1936,7,25,411
"615","USC00020949",1936,7,26,394
"616","USC00020949",1936,7,27,361
"617","USC00020949",1936,7,28,372
"619","USC00020949",1936,7,30,383
"620","USC00020949",1936,7,31,406
"683","USC00020949",1936,8,1,411
"684","USC00020949",1936,8,2,389
"685","USC00020949",1936,8,3,400
"686","USC00020949",1936,8,4,400
"687","USC00020949",1936,8,5,411
"688","USC00020949",1936,8,6,417
"689","USC00020949",1936,8,7,422
"690","USC00020949",1936,8,8,383
"691","USC00020949",1936,8,9,383
"692","USC00020949",1936,8,10,367
"693","USC00020949",1936,8,11,417
"694","USC00020949",1936,8,12,422
"695","USC00020949",1936,8,13,450
"696","USC00020949",1936,8,14,439
"697","USC00020949",1936,8,15,428
"698","USC00020949",1936,8,16,433
"699","USC00020949",1936,8,17,417
"700","USC00020949",1936,8,18,411
"701","USC00020949",1936,8,19,394
"702","USC00020949",1936,8,20,394
"703","USC00020949",1936,8,21,400
"704","USC00020949",1936,8,22,411
"705","USC00020949",1936,8,23,439
"706","USC00020949",1936,8,24,428
"707","USC00020949",1936,8,25,406
"708","USC00020949",1936,8,26,400
"709","USC00020949",1936,8,27,428
"710","USC00020949",1936,8,28,400
"711","USC00020949",1936,8,29,406
"712","USC00020949",1936,8,30,406
"713","USC00020949",1936,8,31,422
"776","USC00020949",1936,9,1,411
"777","USC00020949",1936,9,2,400
"778","USC00020949",1936,9,3,372
"780","USC00020949",1936,9,5,361
"781","USC00020949",1936,9,6,383
"782","USC00020949",1936,9,7,422
"783","USC00020949",1936,9,8,417
"784","USC00020949",1936,9,9,383
"785","USC00020949",1936,9,10,367
"786","USC00020949",1936,9,11,389
"787","USC00020949",1936,9,12,383
"788","USC00020949",1936,9,13,372
"789","USC00020949",1936,9,14,356
"790","USC00020949",1936,9,15,367
"791","USC00020949",1936,9,16,389
"792","USC00020949",1936,9,17,400
"793","USC00020949",1936,9,18,389
"794","USC00020949",1936,9,19,378
"795","USC00020949",1936,9,20,372
"796","USC00020949",1936,9,21,372
"797","USC00020949",1936,9,22,367
"798","USC00020949",1936,9,23,383
"799","USC00020949",1936,9,24,411
"800","USC00020949",1936,9,25,394
"801","USC00020949",1936,9,26,394
"877","USC00020949",1936,10,9,361
"878","USC00020949",1936,10,10,361
"879","USC00020949",1936,10,11,383
"880","USC00020949",1936,10,12,378
"881","USC00020949",1936,10,13,367
"882","USC00020949",1936,10,14,361
"7011","USC00020949",1952,4,5,367
"7012","USC00020949",1952,4,6,361
"7100","USC00020949",1952,5,1,350
"7101","USC00020949",1952,5,2,378
"7102","USC00020949",1952,5,3,378
"7103","USC00020949",1952,5,4,378
"7104","USC00020949",1952,5,5,389
"7105","USC00020949",1952,5,6,356
"7106","USC00020949",1952,5,7,350
"7109","USC00020949",1952,5,10,367
"7110","USC00020949",1952,5,11,389
"7111","USC00020949",1952,5,12,400
"7112","USC00020949",1952,5,13,383
"7113","USC00020949",1952,5,14,372
"7114","USC00020949",1952,5,15,356
"7118","USC00020949",1952,5,19,383
"7119","USC00020949",1952,5,20,389
"7120","USC00020949",1952,5,21,372
"7122","USC00020949",1952,5,23,361
"7123","USC00020949",1952,5,24,389
"7124","USC00020949",1952,5,25,411
"7125","USC00020949",1952,5,26,417
"7126","USC00020949",1952,5,27,417
"7127","USC00020949",1952,5,28,422
"7128","USC00020949",1952,5,29,406
"7129","USC00020949",1952,5,30,389
"7130","USC00020949",1952,5,31,356
"7193","USC00020949",1952,6,1,350
"7196","USC00020949",1952,6,4,372
"7197","USC00020949",1952,6,5,406
"7198","USC00020949",1952,6,6,389
"7199","USC00020949",1952,6,7,383
"7200","USC00020949",1952,6,8,406
"7201","USC00020949",1952,6,9,400
"7202","USC00020949",1952,6,10,367
"7203","USC00020949",1952,6,11,383
"7204","USC00020949",1952,6,12,378
"7205","USC00020949",1952,6,13,411
"7206","USC00020949",1952,6,14,406
"7207","USC00020949",1952,6,15,422
"7208","USC00020949",1952,6,16,444
"7209","USC00020949",1952,6,17,444
"7210","USC00020949",1952,6,18,433
"7211","USC00020949",1952,6,19,406
"7212","USC00020949",1952,6,20,406
"7213","USC00020949",1952,6,21,394
"7214","USC00020949",1952,6,22,394
"7215","USC00020949",1952,6,23,383
"7216","USC00020949",1952,6,24,378
"7217","USC00020949",1952,6,25,367
