"","year","ID","metric","value"
"1",1936,"USC00020949",7,159
"2",1937,"USC00020949",7,0
"3",1938,"USC00020949",7,0
"4",1939,"USC00020949",7,0
"5",1940,"USC00020949",7,0
"6",1941,"USC00020949",7,0
"7",1942,"USC00020949",7,0
"8",1943,"USC00020949",7,0
"9",1944,"USC00020949",7,0
"10",1945,"USC00020949",7,0
"11",1946,"USC00020949",7,0
"12",1947,"USC00020949",7,0
"13",1948,"USC00020949",7,0
"14",1949,"USC00020949",7,0
"15",1950,"USC00020949",7,0
"16",1951,"USC00020949",7,0
"17",1952,"USC00020949",7,164
"18",1953,"USC00020949",7,132
"19",1954,"USC00020949",7,172
"20",1955,"USC00020949",7,141
"21",1956,"USC00020949",7,154
"22",1957,"USC00020949",7,140
"23",1958,"USC00020949",7,169
"24",1959,"USC00020949",7,165
"25",1960,"USC00020949",7,155
"26",1961,"USC00020949",7,150
"27",1962,"USC00020949",7,137
"28",1963,"USC00020949",7,141
"29",1964,"USC00020949",7,149
"30",1965,"USC00020949",7,147
"31",1966,"USC00020949",7,152
"32",1967,"USC00020949",7,135
"33",1968,"USC00020949",7,125
"34",1969,"USC00020949",7,142
"35",1970,"USC00020949",7,126
"36",1971,"USC00020949",7,121
"37",1972,"USC00020949",7,136
"38",1973,"USC00020949",7,153
"39",1974,"USC00020949",7,153
"40",1975,"USC00020949",7,138
"41",1976,"USC00020949",7,137
"42",1977,"USC00020949",7,135
"43",1978,"USC00020949",7,148
"44",1979,"USC00020949",7,147
"45",1980,"USC00020949",7,145
"46",1981,"USC00020949",7,144
"47",1982,"USC00020949",7,119
"48",1983,"USC00020949",7,119
"49",1984,"USC00020949",7,147
"50",1985,"USC00020949",7,140
"51",1986,"USC00020949",7,127
"52",1987,"USC00020949",7,155
"53",1988,"USC00020949",7,138
"54",1989,"USC00020949",7,159
"55",1990,"USC00020949",7,133
"56",1991,"USC00020949",7,144
"57",1992,"USC00020949",7,150
"58",1993,"USC00020949",7,134
"59",1994,"USC00020949",7,140
"60",1995,"USC00020949",7,131
"61",1996,"USC00020949",7,156
"62",1997,"USC00020949",7,154
"63",1998,"USC00020949",7,115
"64",1999,"USC00020949",7,143
"65",2000,"USC00020949",7,154
"66",2001,"USC00020949",7,160
"67",2002,"USC00020949",7,144
"68",2003,"USC00020949",7,161
"69",2004,"USC00020949",7,143
"70",2005,"USC00020949",7,111
"71",2006,"USC00020949",7,113
"72",2007,"USC00020949",7,136
"73",2008,"USC00020949",7,144
"74",2009,"USC00020949",7,143
"75",2010,"USC00020949",7,133
"76",2011,"USC00020949",7,149
"77",2012,"USC00020949",7,158
"78",2013,"USC00020949",7,144
"79",2014,"USC00020949",7,136
"80",2015,"USC00020949",7,146
