"","year","month","ID","element","day","TMAX"
"38968",1981,1,"USC00020949","TMAX",1,267
"38969",1981,1,"USC00020949","TMAX",2,261
"38970",1981,1,"USC00020949","TMAX",3,267
"38971",1981,1,"USC00020949","TMAX",4,250
"53480",1994,1,"USC00020949","TMAX",5,239
"11197",1956,1,"USC00020949","TMAX",6,261
"13430",1958,1,"USC00020949","TMAX",7,261
"17894",1962,1,"USC00020949","TMAX",7,261
"17895",1962,1,"USC00020949","TMAX",8,256
"11200",1956,1,"USC00020949","TMAX",9,267
"11201",1956,1,"USC00020949","TMAX",10,244
"38977",1981,1,"USC00020949","TMAX",10,244
"49021",1990,1,"USC00020949","TMAX",10,244
"7854",1953,1,"USC00020949","TMAX",11,261
"14551",1959,1,"USC00020949","TMAX",12,261
"11204",1956,1,"USC00020949","TMAX",13,250
"14552",1959,1,"USC00020949","TMAX",13,250
"11205",1956,1,"USC00020949","TMAX",14,244
"60185",2000,1,"USC00020949","TMAX",14,244
"60186",2000,1,"USC00020949","TMAX",15,261
"33403",1976,1,"USC00020949","TMAX",16,267
"14556",1959,1,"USC00020949","TMAX",17,278
"14557",1959,1,"USC00020949","TMAX",18,311
"27888",1971,1,"USC00020949","TMAX",19,294
"27889",1971,1,"USC00020949","TMAX",20,306
"27890",1971,1,"USC00020949","TMAX",21,289
"69989",2009,1,"USC00020949","TMAX",22,250
"24544",1968,1,"USC00020949","TMAX",23,244
"14563",1959,1,"USC00020949","TMAX",24,267
"14564",1959,1,"USC00020949","TMAX",25,272
"32297",1975,1,"USC00020949","TMAX",26,272
"63546",2003,1,"USC00020949","TMAX",27,267
"27897",1971,1,"USC00020949","TMAX",28,267
"33416",1976,1,"USC00020949","TMAX",29,267
"44576",1986,1,"USC00020949","TMAX",29,267
"7873",1953,1,"USC00020949","TMAX",30,256
"23435",1967,1,"USC00020949","TMAX",30,256
"42345",1984,1,"USC00020949","TMAX",30,256
"8990",1954,1,"USC00020949","TMAX",31,283
"63550",2003,1,"USC00020949","TMAX",31,283
"63613",2003,2,"USC00020949","TMAX",1,283
"7938",1953,2,"USC00020949","TMAX",2,300
"19099",1963,2,"USC00020949","TMAX",3,289
"19100",1963,2,"USC00020949","TMAX",4,294
"19101",1963,2,"USC00020949","TMAX",5,294
"19102",1963,2,"USC00020949","TMAX",6,300
"19103",1963,2,"USC00020949","TMAX",7,322
"26854",1970,2,"USC00020949","TMAX",8,300
"55809",1996,2,"USC00020949","TMAX",9,294
"55810",1996,2,"USC00020949","TMAX",10,289
"12411",1957,2,"USC00020949","TMAX",11,294
"16875",1961,2,"USC00020949","TMAX",11,294
"27973",1971,2,"USC00020949","TMAX",11,294
"12412",1957,2,"USC00020949","TMAX",12,283
"27974",1971,2,"USC00020949","TMAX",12,283
"12413",1957,2,"USC00020949","TMAX",13,306
"12414",1957,2,"USC00020949","TMAX",14,311
"75655",2014,2,"USC00020949","TMAX",15,306
"75656",2014,2,"USC00020949","TMAX",16,289
"75657",2014,2,"USC00020949","TMAX",17,300
"39078",1981,2,"USC00020949","TMAX",18,300
"39079",1981,2,"USC00020949","TMAX",19,322
"29098",1972,2,"USC00020949","TMAX",20,294
"39080",1981,2,"USC00020949","TMAX",20,294
"34617",1977,2,"USC00020949","TMAX",21,322
"40198",1982,2,"USC00020949","TMAX",22,300
"40199",1982,2,"USC00020949","TMAX",23,294
"48011",1989,2,"USC00020949","TMAX",23,294
"62519",2002,2,"USC00020949","TMAX",23,294
"44664",1986,2,"USC00020949","TMAX",24,311
"44665",1986,2,"USC00020949","TMAX",25,317
"44666",1986,2,"USC00020949","TMAX",26,322
"44667",1986,2,"USC00020949","TMAX",27,322
"44668",1986,2,"USC00020949","TMAX",28,333
"29107",1972,2,"USC00020949","TMAX",29,300
"44734",1986,3,"USC00020949","TMAX",1,333
"14727",1959,3,"USC00020949","TMAX",2,317
"70155",2009,3,"USC00020949","TMAX",2,317
"14728",1959,3,"USC00020949","TMAX",3,317
"29175",1972,3,"USC00020949","TMAX",4,317
"29176",1972,3,"USC00020949","TMAX",5,339
"29177",1972,3,"USC00020949","TMAX",6,333
"15848",1960,3,"USC00020949","TMAX",7,339
"29179",1972,3,"USC00020949","TMAX",8,333
"29180",1972,3,"USC00020949","TMAX",9,350
"29181",1972,3,"USC00020949","TMAX",10,344
"29182",1972,3,"USC00020949","TMAX",11,333
"57020",1997,3,"USC00020949","TMAX",11,333
"29183",1972,3,"USC00020949","TMAX",12,333
"29184",1972,3,"USC00020949","TMAX",13,339
"67934",2007,3,"USC00020949","TMAX",13,339
"74631",2013,3,"USC00020949","TMAX",14,339
"74632",2013,3,"USC00020949","TMAX",15,339
"67937",2007,3,"USC00020949","TMAX",16,367
"67938",2007,3,"USC00020949","TMAX",17,367
"67939",2007,3,"USC00020949","TMAX",18,344
"57028",1997,3,"USC00020949","TMAX",19,339
"57029",1997,3,"USC00020949","TMAX",20,356
"57030",1997,3,"USC00020949","TMAX",21,356
"15863",1960,3,"USC00020949","TMAX",22,344
"11400",1956,3,"USC00020949","TMAX",23,339
"11401",1956,3,"USC00020949","TMAX",24,350
"8054",1953,3,"USC00020949","TMAX",25,333
"11402",1956,3,"USC00020949","TMAX",25,333
"46991",1988,3,"USC00020949","TMAX",26,350
"44760",1986,3,"USC00020949","TMAX",27,356
"76877",2015,3,"USC00020949","TMAX",28,356
"76878",2015,3,"USC00020949","TMAX",29,356
"76879",2015,3,"USC00020949","TMAX",30,361
"76880",2015,3,"USC00020949","TMAX",31,356
"72479",2011,4,"USC00020949","TMAX",1,378
"14820",1959,4,"USC00020949","TMAX",2,389
"17053",1961,4,"USC00020949","TMAX",3,372
"17054",1961,4,"USC00020949","TMAX",4,389
"7011",1952,4,"USC00020949","TMAX",5,367
"14823",1959,4,"USC00020949","TMAX",5,367
"15939",1960,4,"USC00020949","TMAX",5,367
"48180",1989,4,"USC00020949","TMAX",6,383
"48181",1989,4,"USC00020949","TMAX",7,394
"48182",1989,4,"USC00020949","TMAX",8,394
"48183",1989,4,"USC00020949","TMAX",9,383
"48184",1989,4,"USC00020949","TMAX",10,378
"75837",2014,4,"USC00020949","TMAX",11,372
"322",1936,4,"USC00020949","TMAX",12,383
"323",1936,4,"USC00020949","TMAX",13,389
"18180",1962,4,"USC00020949","TMAX",14,389
"325",1936,4,"USC00020949","TMAX",15,389
"42610",1984,4,"USC00020949","TMAX",16,394
"327",1936,4,"USC00020949","TMAX",17,394
"18184",1962,4,"USC00020949","TMAX",18,394
"38149",1980,4,"USC00020949","TMAX",19,394
"13722",1958,4,"USC00020949","TMAX",20,394
"13723",1958,4,"USC00020949","TMAX",21,406
"73616",2012,4,"USC00020949","TMAX",22,411
"73617",2012,4,"USC00020949","TMAX",23,394
"56010",1996,4,"USC00020949","TMAX",24,383
"56011",1996,4,"USC00020949","TMAX",25,378
"61591",2001,4,"USC00020949","TMAX",25,378
"51548",1992,4,"USC00020949","TMAX",26,389
"56012",1996,4,"USC00020949","TMAX",26,389
"60476",2000,4,"USC00020949","TMAX",26,389
"60477",2000,4,"USC00020949","TMAX",27,400
"51550",1992,4,"USC00020949","TMAX",28,394
"68042",2007,4,"USC00020949","TMAX",28,394
"14847",1959,4,"USC00020949","TMAX",29,406
"14848",1959,4,"USC00020949","TMAX",30,394
"43804",1985,5,"USC00020949","TMAX",1,394
"43805",1985,5,"USC00020949","TMAX",2,389
