ID,LAT,LON,ELEV,ST
USC00117636,38.6403,-88.9458,167.6,IL
USC00131319,42.0497,-91.5881,247.8,IA
USC00143554,38.6003,-100.6197,868.7,KS
USC00147271,38.4747,-100.9175,906.5,KS
USC00147542,39.7772,-98.7783,554.7,KS
USC00148235,38.4661,-101.7731,1107.6,KS
USC00165090,32.8067,-91.173,30.5,LA
USC00190736,42.2122,-71.1136,190.5,MA
USC00235307,37.3233,-92.9828,431,MO
USC00244558,48.3042,-114.2636,901.3,MT
USC00253185,41.4514,-97.7644,484.6,NE
USC00256135,42.0644,-97.9667,533.1,NE
USC00305426,41.7681,-74.155,379.5,NY
USC00311975,35.4111,-80.5833,213.4,NC
USC00315838,35.7297,-81.6728,359.7,NC
USC00319147,35.4867,-82.9681,810.2,NC
USC00319675,36.1306,-80.5481,266.7,NC
USC00332791,41.0461,-83.6622,234.1,OH
USC00402108,35.5497,-89.7,117.3,TN
USC00412121,33.6517,-101.245,917.4,TX
USC00422385,40.9656,-111.4336,1667.3,UT
USC00449151,37.3017,-76.7039,21.3,VA
USC00478267,44.88,-87.3358,213.1,WI
USW00003812,35.4319,-82.5375,645.3,NC
USW00003816,37.0683,-88.7719,119.5,KY
USW00003820,33.3644,-81.9633,40.2,GA
USW00003822,32.13,-81.21,14,GA
USW00003856,34.6439,-86.7861,190.2,AL
USW00003859,37.2958,-81.2078,874.8,WV
USW00003860,38.365,-82.555,251.2,WV
USW00003870,34.8831,-82.2203,286.5,SC
USW00003872,37.7836,-81.1231,766.3,WV
USW00003927,32.8978,-97.0189,170.7,TX
USW00003928,37.6544,-97.4425,406.9,KS
USW00003937,30.125,-93.2158,4,LA
USW00003940,32.3206,-90.0778,100.6,MS
USW00004725,42.1997,-75.985,489.5,NY
USW00004781,40.7939,-73.1017,25.6,NY
USW00012834,29.1828,-81.0483,9.4,FL
USW00012836,24.555,-81.7522,1.2,FL
USW00012839,25.7906,-80.3164,8.8,FL
USW00012842,27.9619,-82.5403,5.8,FL
USW00012844,26.6847,-80.0994,5.8,FL
USW00012912,28.8614,-96.9303,35.1,TX
USW00012917,29.9506,-94.0206,4.9,TX
USW00012919,25.9156,-97.4186,7,TX
USW00012921,29.5442,-98.4839,240.5,TX
USW00012924,27.7839,-97.5108,13.7,TX
USW00013722,35.8922,-78.7819,126.8,NC
USW00013723,36.0969,-79.9433,271.3,NC
USW00013729,38.8853,-79.8528,603.2,WV
USW00013733,37.3208,-79.2067,286.5,VA
USW00013737,36.9033,-76.1922,9.1,VA
USW00013739,39.8683,-75.2311,3,PA
USW00013740,37.505,-77.3203,50,VA
USW00013741,37.3169,-79.9742,358.1,VA
USW00013743,38.8483,-77.0342,3,VA
USW00013748,34.2675,-77.8997,10.1,NC
USW00013781,39.6728,-75.6008,24.1,DE
USW00013865,32.3347,-88.7442,89.6,MS
USW00013866,38.3794,-81.59,277.4,WV
USW00013870,31.5358,-82.5067,58.8,GA
USW00013871,33.5872,-85.8556,181.1,AL
USW00013872,35.5953,-82.5567,682.1,NC
USW00013873,33.9481,-83.3275,239.3,GA
USW00013874,33.63,-84.4417,307.8,GA
USW00013876,33.5656,-86.745,187.5,AL
USW00013877,36.4731,-82.4044,457.2,TN
USW00013878,31.1522,-81.3908,4.9,GA
USW00013880,32.8986,-80.0403,12.2,SC
USW00013881,35.2236,-80.9553,221.9,NC
USW00013882,35.0311,-85.2014,204.5,TN
USW00013883,33.9486,-81.1186,70.4,SC
USW00013889,30.4844,-81.7019,10.1,FL
USW00013891,35.8181,-83.9858,293.2,TN
USW00013893,35.0564,-89.9864,77.4,TN
USW00013894,30.6794,-88.2397,63.4,AL
USW00013895,32.2997,-86.4075,61.6,AL
USW00013897,36.1189,-86.6892,182.9,TN
USW00013899,30.4781,-87.1869,34.1,FL
USW00013942,32.5156,-92.0406,24.1,LA
USW00013957,32.4506,-93.8411,83.2,LA
USW00013958,30.3208,-97.7603,204.2,TX
USW00013959,31.6189,-97.2283,152.4,TX
USW00013962,32.4106,-99.6822,545.6,TX
USW00013963,34.7272,-92.2389,78.6,AR
USW00013964,35.3331,-94.3625,136.9,AR
USW00013966,33.9786,-98.4928,310,TX
USW00013967,35.3889,-97.6006,391.7,OK
USW00013968,36.1994,-95.8872,198.1,OK
USW00013969,36.7367,-97.1019,304.8,OK
USW00013971,36.2667,-93.1567,418.8,AR
USW00013976,30.205,-91.9875,11.6,LA
USW00013984,39.5514,-97.6508,447.8,KS
USW00013985,37.7608,-99.9683,789.4,KS
USW00013994,38.7525,-90.3736,161.8,MO
USW00013995,37.2353,-93.4003,389.5,MO
USW00013996,39.0725,-95.6261,267,KS
USW00014605,44.3206,-69.7972,106.7,ME
USW00014607,46.8706,-68.0172,190.2,ME
USW00014732,40.7794,-73.8803,3.4,NY
USW00014733,42.9486,-78.7369,211.2,NY
USW00014734,40.6825,-74.1694,2.1,NJ
USW00014735,42.7431,-73.8092,95.1,NY
USW00014737,40.6508,-75.4492,118.9,PA
USW00014740,41.9381,-72.6825,57.9,CT
USW00014742,44.4683,-73.15,100.6,VT
USW00014745,43.1953,-71.5011,105.5,NH
USW00014750,43.35,-73.6167,97.8,NY
USW00014755,44.2667,-71.2994,1910.2,NH
USW00014764,43.6497,-70.3003,13.7,ME
USW00014765,41.7219,-71.4325,18.3,RI
USW00014768,43.1167,-77.6767,162.5,NY
USW00014771,43.1111,-76.1039,125.9,NY
USW00014778,41.2433,-76.9217,158.5,PA
USW00014820,41.4131,-81.86,232.6,OH
USW00014821,39.9914,-82.8808,246.9,OH
USW00014826,42.9667,-83.7494,234.7,MI
USW00014827,40.9706,-85.2064,241.1,IN
USW00014836,42.7803,-84.5789,256.3,MI
USW00014837,43.1406,-89.3453,264,WI
USW00014839,42.955,-87.9044,204.2,WI
USW00014840,43.1711,-86.2367,190.5,MI
USW00014842,40.6675,-89.6839,198.1,IL
USW00014845,43.5331,-84.0797,201.2,MI
USW00014847,46.4794,-84.3572,220.1,MI
USW00014848,41.7072,-86.3164,235.6,IN
USW00014850,44.7408,-85.5825,188.4,MI
USW00014852,41.2544,-80.6739,359.7,OH
USW00014860,42.08,-80.1825,222.5,PA
USW00014891,40.8203,-82.5178,394.7,OH
USW00014895,40.9167,-81.4333,368.2,OH
USW00014897,44.9258,-89.6256,360,WI
USW00014898,44.4983,-88.1111,207.9,WI
USW00014913,46.8369,-92.2097,435.3,MN
USW00014914,46.9253,-96.8111,274.3,ND
USW00014918,48.5614,-93.3981,360.6,MN
USW00014922,44.8831,-93.2289,265.8,MN
USW00014923,41.4653,-90.5233,180.4,IL
USW00014925,43.9042,-92.4917,397.5,MN
USW00014926,45.5433,-94.0514,310.3,MN
USW00014933,41.5339,-93.6531,291.7,IA
USW00014935,40.9611,-98.3136,560.8,NE
USW00014936,44.3981,-98.2231,390.1,SD
USW00014940,43.1544,-93.3269,373.4,IA
USW00014941,41.9856,-97.4353,472.7,NE
USW00014943,42.3914,-96.3792,333.8,IA
USW00014944,43.5878,-96.7289,435.9,SD
USW00014991,44.8664,-91.4878,269.7,WI
USW00022010,29.3783,-100.9269,304.5,TX
USW00023023,31.9433,-102.1889,874.2,TX
USW00023034,31.3711,-100.4922,576.1,TX
USW00023042,33.6542,-101.8136,993.3,TX
USW00023044,31.8111,-106.3758,1194.2,TX
USW00023047,35.2333,-101.7089,1093.3,TX
USW00023050,35.0419,-106.6156,1618.5,NM
USW00023065,39.3669,-101.7,1112.8,KS
USW00023066,39.1342,-108.54,1480.7,CO
USW00023070,37.2622,-104.3378,1749.9,CO
USW00023129,33.8117,-118.1464,9.4,CA
USW00023154,39.2953,-114.8467,1908.7,NV
USW00023155,35.4344,-119.0542,149,CA
USW00023157,37.3711,-118.3581,1250.3,CA
USW00023160,32.1314,-110.9553,776.9,AZ
USW00023169,36.0719,-115.1633,649.5,NV
USW00023174,33.9381,-118.3889,29.6,CA
USW00023183,33.4278,-112.0039,337.4,AZ
USW00023185,39.4839,-119.7711,1344.2,NV
USW00023237,37.8892,-121.2258,7.9,CA
USW00023271,38.5556,-121.4169,11.6,CA
USW00023272,37.7706,-122.4269,45.7,CA
USW00024011,46.7708,-100.7603,505.4,ND
USW00024018,41.1519,-104.8061,1867.8,WY
USW00024023,41.1214,-100.6694,846.7,NE
USW00024025,44.3814,-100.2856,531,SD
USW00024028,41.8706,-103.5931,1202.4,NE
USW00024033,45.8069,-108.5422,1091.5,MT
USW00024036,47.0492,-109.4578,1263.4,MT
USW00024089,42.8975,-106.4636,1627,WY
USW00024090,44.0433,-103.0536,963.2,SD
USW00024121,40.8289,-115.7886,1533.1,NV
USW00024127,40.7781,-111.9694,1287.8,UT
USW00024128,40.9017,-117.8081,1309.4,NV
USW00024131,43.5667,-116.2406,857.7,ID
USW00024143,47.4733,-111.3822,1116.8,MT
USW00024149,46.3747,-117.0156,437.7,ID
USW00024153,46.9208,-114.0925,972.9,MT
USW00024155,45.6906,-118.8528,461.8,OR
USW00024156,42.9203,-112.5711,1364.9,ID
USW00024157,47.6217,-117.5281,717.2,WA
USW00024213,40.8097,-124.1603,6.1,CA
USW00024221,44.1278,-123.2206,107.6,OR
USW00024225,42.3811,-122.8722,395.3,OR
USW00024227,46.9733,-122.9033,57.3,WA
USW00024229,45.5908,-122.6003,5.8,OR
USW00024233,47.4444,-122.3139,112.8,WA
USW00024243,46.5683,-120.5428,324.3,WA
USW00093037,38.81,-104.6883,1884,CO
USW00093058,38.29,-104.4983,1438.7,CO
USW00093129,37.7086,-113.0944,1702.6,UT
USW00093193,36.78,-119.7194,101.5,CA
USW00093209,35.6697,-120.6283,246.9,CA
USW00093720,38.3406,-75.5103,14.6,MD
USW00093721,39.1667,-76.6833,47.5,MD
USW00093729,35.2325,-75.6219,3.4,NC
USW00093730,39.4494,-74.5672,18.3,NJ
USW00093738,38.9408,-77.4636,88.4,VA
USW00093805,30.3975,-84.3289,19.2,FL
USW00093814,39.0431,-84.6717,264.9,KY
USW00093815,39.9061,-84.2186,304.8,OH
USW00093817,38.0442,-87.5206,121.9,IN
